,Generation id,Number of archives,Average fog amount for whole generation,Name of the individual,Fog density of failure version,Fog density of successful version,Average fog density of individual,standard deviation
0,0,2,0.18464705328679287,ind1,0.217083387610914,0.142083387610914,0.179583387610914,0.037500000000000006
1,0,2,0.18464705328679287,ind7,0.21971071896267175,0.15971071896267175,0.18971071896267175,0.03
2,1,4,0.13798917866605692,ind18,0.14310991178145127,0.008109911781451273,0.07560991178145127,0.06749999999999999
3,1,4,0.13798917866605692,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
4,1,4,0.13798917866605692,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
5,1,4,0.13798917866605692,ind7,0.21971071896267175,0.15971071896267175,0.18971071896267175,0.03
6,2,7,0.1416662062690523,ind18,0.14310991178145127,0.008109911781451273,0.07560991178145127,0.06749999999999999
7,2,7,0.1416662062690523,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
8,2,7,0.1416662062690523,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
9,2,7,0.1416662062690523,ind36,0.18572800297468706,0.06572800297468706,0.12572800297468706,0.06
10,2,7,0.1416662062690523,ind41,0.17372767728175237,0.09872767728175237,0.13622767728175236,0.0375
11,2,7,0.1416662062690523,ind43,0.17471071896267176,0.15971071896267175,0.16721071896267176,0.007500000000000007
12,2,7,0.1416662062690523,ind44,0.2227510489626991,0.1777510489626991,0.2002510489626991,0.022499999999999992
13,3,7,0.13416620626905232,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
14,3,7,0.13416620626905232,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
15,3,7,0.13416620626905232,ind36,0.18572800297468706,0.06572800297468706,0.12572800297468706,0.06
16,3,7,0.13416620626905232,ind41,0.17372767728175237,0.09872767728175237,0.13622767728175236,0.0375
17,3,7,0.13416620626905232,ind43,0.17471071896267176,0.15971071896267175,0.16721071896267176,0.007500000000000007
18,3,7,0.13416620626905232,ind54,0.1927510489626991,0.1777510489626991,0.18525104896269912,0.007499999999999993
19,3,7,0.13416620626905232,ind58,0.06810991178145127,0.008109911781451273,0.038109911781451275,0.030000000000000002
20,4,7,0.14380906341190944,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
21,4,7,0.14380906341190944,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
22,4,7,0.14380906341190944,ind41,0.17372767728175237,0.09872767728175237,0.13622767728175236,0.0375
23,4,7,0.14380906341190944,ind43,0.17471071896267176,0.15971071896267175,0.16721071896267176,0.007500000000000007
24,4,7,0.14380906341190944,ind54,0.1927510489626991,0.1777510489626991,0.18525104896269912,0.007499999999999993
25,4,7,0.14380906341190944,ind58,0.06810991178145127,0.008109911781451273,0.038109911781451275,0.030000000000000002
26,4,7,0.14380906341190944,ind76,0.23072800297468704,0.15572800297468706,0.19322800297468706,0.03749999999999999
27,5,7,0.14166620626905232,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
28,5,7,0.14166620626905232,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
29,5,7,0.14166620626905232,ind41,0.17372767728175237,0.09872767728175237,0.13622767728175236,0.0375
30,5,7,0.14166620626905232,ind43,0.17471071896267176,0.15971071896267175,0.16721071896267176,0.007500000000000007
31,5,7,0.14166620626905232,ind54,0.1927510489626991,0.1777510489626991,0.18525104896269912,0.007499999999999993
32,5,7,0.14166620626905232,ind58,0.06810991178145127,0.008109911781451273,0.038109911781451275,0.030000000000000002
33,5,7,0.14166620626905232,ind85,0.20072800297468704,0.15572800297468706,0.17822800297468705,0.022499999999999992
34,6,8,0.14448292423660625,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
35,6,8,0.14448292423660625,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
36,6,8,0.14448292423660625,ind41,0.17372767728175237,0.09872767728175237,0.13622767728175236,0.0375
37,6,8,0.14448292423660625,ind43,0.17471071896267176,0.15971071896267175,0.16721071896267176,0.007500000000000007
38,6,8,0.14448292423660625,ind54,0.1927510489626991,0.1777510489626991,0.18525104896269912,0.007499999999999993
39,6,8,0.14448292423660625,ind85,0.20072800297468704,0.15572800297468706,0.17822800297468705,0.022499999999999992
40,6,8,0.14448292423660625,ind95,0.2466999500094838,0.021699950009483816,0.13419995000948381,0.1125
41,6,8,0.14448292423660625,ind98,0.06810991178145129,0.06810991178145127,0.06810991178145129,9.813077866773595e-18
42,7,8,0.14917042423660626,ind108,0.2466999500094838,0.09669995000948381,0.1716999500094838,0.075
43,7,8,0.14917042423660626,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
44,7,8,0.14917042423660626,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
45,7,8,0.14917042423660626,ind41,0.17372767728175237,0.09872767728175237,0.13622767728175236,0.0375
46,7,8,0.14917042423660626,ind43,0.17471071896267176,0.15971071896267175,0.16721071896267176,0.007500000000000007
47,7,8,0.14917042423660626,ind54,0.1927510489626991,0.1777510489626991,0.18525104896269912,0.007499999999999993
48,7,8,0.14917042423660626,ind85,0.20072800297468704,0.15572800297468706,0.17822800297468705,0.022499999999999992
49,7,8,0.14917042423660626,ind98,0.06810991178145129,0.06810991178145127,0.06810991178145129,9.813077866773595e-18
50,8,9,0.15011989626179637,ind126,0.2466999500094838,0.1566999500094838,0.20169995000948382,0.045
51,8,9,0.15011989626179637,ind132,0.21021567246331752,0.045215672463317536,0.12771567246331753,0.08249999999999999
52,8,9,0.15011989626179637,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
53,8,9,0.15011989626179637,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
54,8,9,0.15011989626179637,ind41,0.17372767728175237,0.09872767728175237,0.13622767728175236,0.0375
55,8,9,0.15011989626179637,ind43,0.17471071896267176,0.15971071896267175,0.16721071896267176,0.007500000000000007
56,8,9,0.15011989626179637,ind54,0.1927510489626991,0.1777510489626991,0.18525104896269912,0.007499999999999993
57,8,9,0.15011989626179637,ind85,0.20072800297468704,0.15572800297468706,0.17822800297468705,0.022499999999999992
58,8,9,0.15011989626179637,ind98,0.06810991178145129,0.06810991178145127,0.06810991178145129,9.813077866773595e-18
59,9,9,0.15011989626179637,ind126,0.2466999500094838,0.1566999500094838,0.20169995000948382,0.045
60,9,9,0.15011989626179637,ind132,0.21021567246331752,0.045215672463317536,0.12771567246331753,0.08249999999999999
61,9,9,0.15011989626179637,ind22,0.21205269630919063,0.06205269630919064,0.13705269630919065,0.075
62,9,9,0.15011989626179637,ind25,0.157083387610914,0.142083387610914,0.149583387610914,0.007500000000000007
63,9,9,0.15011989626179637,ind41,0.17372767728175237,0.09872767728175237,0.13622767728175236,0.0375
64,9,9,0.15011989626179637,ind43,0.17471071896267176,0.15971071896267175,0.16721071896267176,0.007500000000000007
65,9,9,0.15011989626179637,ind54,0.1927510489626991,0.1777510489626991,0.18525104896269912,0.007499999999999993
66,9,9,0.15011989626179637,ind85,0.20072800297468704,0.15572800297468706,0.17822800297468705,0.022499999999999992
67,9,9,0.15011989626179637,ind98,0.06810991178145129,0.06810991178145127,0.06810991178145129,9.813077866773595e-18
